,Last Antibiotic,Restarted Antibiotic,proportion
0,A0,_,0.7368421052631579
1,A0,A0,0.07894736842105263
2,A0,D0,0.07894736842105263
3,A0,X1,0.02631578947368421
4,A0,M0,0.02631578947368421
5,A0,E0,0.02631578947368421
6,A0,C1,0.02631578947368421
7,C0,_,0.8262032085561497
8,C0,D0,0.058823529411764705
9,C0,X0,0.040106951871657755
10,C0,C0,0.034759358288770054
11,C0,M0,0.016042780748663103
12,C0,C1,0.0106951871657754
13,C0,X1,0.0053475935828877
14,C0,E0,0.0053475935828877
15,C0,D1,0.00267379679144385
16,C1,_,0.5725646123260437
17,C1,C1,0.3121272365805169
18,C1,D0,0.041749502982107355
19,C1,X0,0.02385685884691849
20,C1,M0,0.015904572564612324
21,C1,D1,0.011928429423459244
22,C1,E0,0.007952286282306162
23,C1,C0,0.007952286282306162
24,C1,A0,0.0019880715705765406
25,C1,X1,0.0019880715705765406
26,C1,F0,0.0019880715705765406
27,D0,_,0.7832322118036403
28,D0,D0,0.10976282404853833
29,D0,X0,0.038058466629895205
30,D0,M0,0.015444015444015444
31,D0,C0,0.015444015444015444
32,D0,C1,0.013789299503585218
33,D0,D1,0.00827357970215113
34,D0,X1,0.007170435741864313
35,D0,E0,0.00441257584114727
36,D0,A0,0.001654715940430226
37,D0,F0,0.001654715940430226
38,D0,G0,0.0011031439602868175
39,D1,_,0.7757352941176471
40,D1,D1,0.11029411764705882
41,D1,X0,0.04044117647058824
42,D1,D0,0.022058823529411766
43,D1,M0,0.014705882352941176
44,D1,C1,0.011029411764705883
45,D1,E0,0.011029411764705883
46,D1,X1,0.007352941176470588
47,D1,F0,0.003676470588235294
48,D1,C0,0.003676470588235294
49,E0,_,0.8273809523809523
50,E0,E0,0.047619047619047616
51,E0,D0,0.02976190476190476
52,E0,X0,0.023809523809523808
53,E0,M0,0.017857142857142856
54,E0,C1,0.017857142857142856
55,E0,D1,0.011904761904761904
56,E0,C0,0.005952380952380952
57,E0,X1,0.005952380952380952
58,E0,A0,0.005952380952380952
59,E0,F0,0.005952380952380952
60,F0,_,0.6363636363636364
61,F0,F0,0.13636363636363635
62,F0,D0,0.09090909090909091
63,F0,X1,0.022727272727272728
64,F0,X0,0.022727272727272728
65,F0,E0,0.022727272727272728
66,F0,C1,0.022727272727272728
67,F0,C0,0.022727272727272728
68,F0,D1,0.022727272727272728
69,G0,_,0.851063829787234
70,G0,X0,0.0425531914893617
71,G0,C1,0.0425531914893617
72,G0,D0,0.0425531914893617
73,G0,X1,0.02127659574468085
74,M0,_,0.7987117552334944
75,M0,D0,0.06280193236714976
76,M0,M0,0.040257648953301126
77,M0,X0,0.028985507246376812
78,M0,C1,0.02254428341384863
79,M0,C0,0.014492753623188406
80,M0,X1,0.011272141706924315
81,M0,E0,0.00966183574879227
82,M0,D1,0.008051529790660225
83,M0,F0,0.00322061191626409
84,X0,_,0.8464977645305514
85,X0,X0,0.05812220566318927
86,X0,D0,0.041728763040238454
87,X0,D1,0.014903129657228018
88,X0,M0,0.00894187779433681
89,X0,C1,0.00894187779433681
90,X0,C0,0.007451564828614009
91,X0,F0,0.004470938897168405
92,X0,X1,0.0029806259314456036
93,X0,E0,0.0029806259314456036
94,X0,A0,0.0029806259314456036
95,X1,_,0.7431818181818182
96,X1,D0,0.08636363636363636
97,X1,X0,0.05
98,X1,X1,0.031818181818181815
99,X1,M0,0.022727272727272728
100,X1,C1,0.01818181818181818
101,X1,D1,0.015909090909090907
102,X1,C0,0.015909090909090907
103,X1,F0,0.00909090909090909
104,X1,E0,0.004545454545454545
105,X1,G0,0.0022727272727272726
106,X2,_,1.0
