Restarted Antibiotic,A0,C0,C1,D0,D1,E0,F0,G0,M0,X0,X1,X2
A0,0.07894736842105263,,0.0019880715705765406,0.001654715940430226,,0.005952380952380952,,,,0.0029806259314456036,,
C0,,0.034759358288770054,0.007952286282306162,0.015444015444015444,0.003676470588235294,0.005952380952380952,0.022727272727272728,,0.014492753623188406,0.007451564828614009,0.015909090909090907,
C1,0.02631578947368421,0.0106951871657754,0.3121272365805169,0.013789299503585218,0.011029411764705883,0.017857142857142856,0.022727272727272728,0.0425531914893617,0.02254428341384863,0.00894187779433681,0.01818181818181818,
D0,0.07894736842105263,0.058823529411764705,0.041749502982107355,0.10976282404853833,0.022058823529411766,0.02976190476190476,0.09090909090909091,0.0425531914893617,0.06280193236714976,0.041728763040238454,0.08636363636363636,
D1,,0.00267379679144385,0.011928429423459244,0.00827357970215113,0.11029411764705882,0.011904761904761904,0.022727272727272728,,0.008051529790660225,0.014903129657228018,0.015909090909090907,
E0,0.02631578947368421,0.0053475935828877,0.007952286282306162,0.00441257584114727,0.011029411764705883,0.047619047619047616,0.022727272727272728,,0.00966183574879227,0.0029806259314456036,0.004545454545454545,
F0,,,0.0019880715705765406,0.001654715940430226,0.003676470588235294,0.005952380952380952,0.13636363636363635,,0.00322061191626409,0.004470938897168405,0.00909090909090909,
G0,,,,0.0011031439602868175,,,,,,,0.0022727272727272726,
M0,0.02631578947368421,0.016042780748663103,0.015904572564612324,0.015444015444015444,0.014705882352941176,0.017857142857142856,,,0.040257648953301126,0.00894187779433681,0.022727272727272728,
X0,,0.040106951871657755,0.02385685884691849,0.038058466629895205,0.04044117647058824,0.023809523809523808,0.022727272727272728,0.0425531914893617,0.028985507246376812,0.05812220566318927,0.05,
X1,0.02631578947368421,0.0053475935828877,0.0019880715705765406,0.007170435741864313,0.007352941176470588,0.005952380952380952,0.022727272727272728,0.02127659574468085,0.011272141706924315,0.0029806259314456036,0.031818181818181815,
_,0.7368421052631579,0.8262032085561497,0.5725646123260437,0.7832322118036403,0.7757352941176471,0.8273809523809523,0.6363636363636364,0.851063829787234,0.7987117552334944,0.8464977645305514,0.7431818181818182,1.0
